,Users,Game_name,user_rating
992,/user/ergonomicoT2000,Journey,9
993,/user/Fostero1993,Journey,8
995,/user/likevin96,Journey,8
996,/user/Kire_92,Journey,2
998,/user/yaqubian,Journey,6
1000,/user/resh_aykut,Journey,10
1001,/user/herrmoekl,Journey,10
1005,/user/bosconian87,Journey,10
1009,/user/Artur95,Journey,8
1012,/user/RealMuthaF,Journey,2
1013,/user/Peeto,Journey,5
1014,/user/brockcheese,Journey,9
1015,/user/bulletchan,Journey,10
1016,/user/joaopontesvaz,Journey,8
1019,/user/Dal_ReviewedDat,Journey,9
1020,/user/User3,Journey,0
1021,/user/STROKESs1997,Journey,2
1022,/user/L_Coops,Journey,9
1026,/user/bobbsyw,Journey,8
1027,/user/Gwyndolin,Journey,9
1035,/user/MiawMix,Bloodborne,10
1036,/user/gustave154,Bloodborne,10
1038,/user/dgbot07,Bloodborne,10
1039,/user/hb1209,Bloodborne,10
1041,/user/kraenk,Bloodborne,10
1050,/user/Killask,Bloodborne,10
1052,/user/Gamingking007,Bloodborne,10
1085,/user/boynamedluke,Bloodborne,10
1088,/user/Gamer44,Bloodborne,10
1090,/user/rodericrinehart,Bloodborne,10
1102,/user/beegie_b,Bloodborne,10
1103,/user/rensyphon,Bloodborne,10
1120,/user/WJBenediThus,Bloodborne,10
1126,/user/Teamflasher,Bloodborne,10
1128,/user/SWERY_51,Undertale,7
1135,/user/Turbodowg,Undertale,10
1138,/user/GamerDylan,Undertale,10
1139,/user/Resunoit,Undertale,8
1143,/user/brazzerq,Undertale,9
1145,/user/BlakDak666,Undertale,8
1146,/user/BubaMan,Undertale,8
1150,/user/LikeaPisces,Undertale,10
1156,/user/t0mmyg,Undertale,7
1158,/user/SZJX,Undertale,9
1161,/user/dreamstate42,Undertale,5
1165,/user/ThereIsNoSpoon,Undertale,5
1168,/user/BarelyLewd,Undertale,4
1170,/user/Russkiy_Hockage,Undertale,10
1187,/user/Koderix,Undertale,10
1188,/user/XLazer,Undertale,9
1191,/user/FYWLPB,Undertale,10
1193,/user/ourtimehascome,Undertale,9
1196,/user/DoctorZack,Undertale,6
1197,/user/CyberRobotnix,Undertale,10
1199,/user/moonman1994,Undertale,9
1201,/user/DoritoDoggo77,Undertale,10
1205,/user/painava,Undertale,7
1209,/user/djbarker,Undertale,1
1211,/user/vahn,Undertale,0
1212,/user/RaFfr0,Undertale,4
1215,/user/OrionHamake,Undertale,0
1217,/user/Midmmmf,Undertale,0
1220,/user/SortOfCritic,Undertale,7
1222,/user/Poofpooof,Undertale,5
1227,/user/SplitMind,Undertale,6
1228,/user/jakeman25,The Witcher 3: Wild Hunt,10
1234,/user/Gamingking007,The Witcher 3: Wild Hunt,10
1242,/user/herrmoekl,The Witcher 3: Wild Hunt,10
1243,/user/ALSGATS,The Witcher 3: Wild Hunt,10
1248,/user/ps4lover,The Witcher 3: Wild Hunt,10
1250,/user/hamoonbeigi,The Witcher 3: Wild Hunt,10
1252,/user/dunnyone,The Witcher 3: Wild Hunt,10
1257,/user/bowsers2,The Witcher 3: Wild Hunt,3
1260,/user/hb1209,The Witcher 3: Wild Hunt,0
1261,/user/Funch,The Witcher 3: Wild Hunt,3
1265,/user/kenmil,The Witcher 3: Wild Hunt,4
1266,/user/KirillKutz,The Witcher 3: Wild Hunt,10
1267,/user/HaloFever,The Witcher 3: Wild Hunt,10
1269,/user/slavigrad,The Witcher 3: Wild Hunt,10
1270,/user/WD_Forever,The Witcher 3: Wild Hunt,10
1271,/user/gypsygib,The Witcher 3: Wild Hunt,10
1277,/user/tbouniverse,The Witcher 3: Wild Hunt,10
1278,/user/theTRUTHson,The Witcher 3: Wild Hunt,10
1279,/user/CriticoDubioso,The Witcher 3: Wild Hunt,10
1281,/user/jp_fal,The Witcher 3: Wild Hunt,10
1282,/user/ricklongo,The Witcher 3: Wild Hunt,9
1285,/user/mattlarkin,The Witcher 3: Wild Hunt,10
1286,/user/SaberEdge,The Witcher 3: Wild Hunt,10
1289,/user/Goalzzz,The Witcher 3: Wild Hunt,10
1290,/user/tybyrd93,The Witcher 3: Wild Hunt,10
1293,/user/TributeMan,The Witcher 3: Wild Hunt,10
1295,/user/alexmann,The Witcher 3: Wild Hunt,10
1298,/user/PeterAlexander,The Witcher 3: Wild Hunt,10
1304,/user/Bayonetwork1989,The Witcher 3: Wild Hunt,9
1309,/user/trarantino,The Witcher 3: Wild Hunt,10
1310,/user/Roo182,The Witcher 3: Wild Hunt,10
1311,/user/mertyboi,The Witcher 3: Wild Hunt,10
1313,/user/KingVilla1n,The Witcher 3: Wild Hunt,9
1315,/user/spantazi,The Witcher 3: Wild Hunt,10
1316,/user/NXT,The Witcher 3: Wild Hunt,10
1324,/user/roachtbp,The Witcher 3: Wild Hunt,10
1328,/user/ReyalsfoSwodahs,Divinity: Original Sin II - Definitive Edition,10
1332,/user/JonnyMenthol,Divinity: Original Sin II - Definitive Edition,10
1335,/user/kazuki1866,Divinity: Original Sin II - Definitive Edition,10
1336,/user/Teela,Divinity: Original Sin II - Definitive Edition,10
1337,/user/CiphirSol,Divinity: Original Sin II - Definitive Edition,10
1339,/user/Unthugged,Divinity: Original Sin II - Definitive Edition,10
1341,/user/drlowdon,Divinity: Original Sin II - Definitive Edition,9
1342,/user/Kai82,Divinity: Original Sin II - Definitive Edition,10
1348,/user/HugeyBear,Divinity: Original Sin II - Definitive Edition,10
1350,/user/Arpg-man,Divinity: Original Sin II - Definitive Edition,6
1351,/user/boris_out,Divinity: Original Sin II - Definitive Edition,9
1353,/user/BarelyLewd,Divinity: Original Sin II - Definitive Edition,9
1354,/user/gqmasters3,Divinity: Original Sin II - Definitive Edition,9
1356,/user/letoras,Divinity: Original Sin II - Definitive Edition,10
1357,/user/mosabbir,Divinity: Original Sin II - Definitive Edition,10
1358,/user/norse,Divinity: Original Sin II - Definitive Edition,10
1359,/user/iMaxPlanck,Divinity: Original Sin II - Definitive Edition,9
1360,/user/Rwmfilm85,Divinity: Original Sin II - Definitive Edition,10
1362,/user/Paulo-Lameiras,Divinity: Original Sin II - Definitive Edition,10
1363,/user/shiftyman,Divinity: Original Sin II - Definitive Edition,10
1366,/user/Kamarr,Divinity: Original Sin II - Definitive Edition,9
1367,/user/kaancag,Divinity: Original Sin II - Definitive Edition,10
1368,/user/Markos-,Divinity: Original Sin II - Definitive Edition,9
1369,/user/SplitMind,Divinity: Original Sin II - Definitive Edition,5
1374,/user/Lestatman,Divinity: Original Sin II - Definitive Edition,3
1375,/user/night4,Divinity: Original Sin II - Definitive Edition,2
1376,/user/christhewiz,Divinity: Original Sin II - Definitive Edition,7
1378,/user/paddystudmuffin,Divinity: Original Sin II - Definitive Edition,0
1379,/user/Gamemonster,Divinity: Original Sin II - Definitive Edition,3
1380,/user/mikepatyaev,Divinity: Original Sin II - Definitive Edition,8
1382,/user/XanderB,Divinity: Original Sin II - Definitive Edition,10
1384,/user/Steyraus,Divinity: Original Sin II - Definitive Edition,1
1385,/user/bskierys,Divinity: Original Sin II - Definitive Edition,10
1387,/user/angelknives,Divinity: Original Sin II - Definitive Edition,10
1390,/user/Da3_who_knows,Divinity: Original Sin II - Definitive Edition,8
1391,/user/JMVegas,Divinity: Original Sin II - Definitive Edition,8
1392,/user/Vinchezio,Divinity: Original Sin II - Definitive Edition,10
1393,/user/Generalxxbob,Divinity: Original Sin II - Definitive Edition,10
1394,/user/MurphyBrandon,Divinity: Original Sin II - Definitive Edition,10
1396,/user/ZXSth,Divinity: Original Sin II - Definitive Edition,8
1397,/user/alanwaketan,Divinity: Original Sin II - Definitive Edition,9
1398,/user/SKonung,Divinity: Original Sin II - Definitive Edition,9
1401,/user/Alucardcastle13,Divinity: Original Sin II - Definitive Edition,10
1405,/user/Zibeks,Divinity: Original Sin II - Definitive Edition,6
1407,/user/Inarokovinal,Divinity: Original Sin II - Definitive Edition,9
1409,/user/DevilSurvivor,Divinity: Original Sin II - Definitive Edition,2
1410,/user/Jouniac,Divinity: Original Sin II - Definitive Edition,9
1412,/user/massivexploder,Divinity: Original Sin II - Definitive Edition,10
1413,/user/Pascal1602,Divinity: Original Sin II - Definitive Edition,10
1414,/user/Jajooka,Divinity: Original Sin II - Definitive Edition,10
1415,/user/Julinitot,Divinity: Original Sin II - Definitive Edition,8
1416,/user/OldAndCynical,Divinity: Original Sin II - Definitive Edition,6
1418,/user/rvp,Divinity: Original Sin II - Definitive Edition,9
1420,/user/Venzeles,Divinity: Original Sin II - Definitive Edition,9
1422,/user/LunaresArienal,Divinity: Original Sin II - Definitive Edition,7
1425,/user/RatchetClank111,Divinity: Original Sin II - Definitive Edition,9
1426,/user/Dibalin,Divinity: Original Sin II - Definitive Edition,0
1428,/user/Vanta77,Final Fantasy XIV: Shadowbringers,5
